Filename,Segment_label,Beginning,End,F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1,,
chan_0120,ee,11.76,11.92,392.628719,593.75,34.25683721,125,36.90147105,32.41684754,36.90147105,-2.644633835,937.5,26.95061531,7.306221896,593.75,34.41947815,125,38.50470676,33.76808881,38.50470676,-4.08522861,968.75,36.64440185,-2.2249237,625,35.76502406,125,40.53781119,36.51012708,40.53781119,-4.772787127,968.75,26.549727,9.215297056,m,VN
chan_0120,aa,12.32,12.4,627.0245383,406.25,37.39738703,125,39.56673836,36.4287292,39.56673836,-2.169351321,1000,9.495512662,27.90187437,406.25,36.96446862,125,41.06272863,36.35149276,41.06272863,-4.098260006,937.5,9.74159078,27.22287784,406.25,37.82878559,125,40.2666788,35.54337757,40.2666788,-2.437893214,937.5,11.43279955,26.39598604,m,NV
chan_0121,i,4.94,4.98,384.9000356,437.5,19.55189938,156.25,26.94768094,19.65821785,26.94768094,-7.395781568,1000,3.480086596,16.07181278,468.75,36.95994292,156.25,35.47937088,34.31846344,36.95994292,0,875,19.63235967,17.32758325,593.75,37.63788543,156.25,35.13560157,34.21084048,37.63788543,0,875,26.16464409,11.47324135,m,NV
chan_0122,aa,1.34,1.39,508.3161787,781.25,34.81723663,156.25,38.22484869,34.03795069,38.22484869,-3.40761206,937.5,27.0470893,7.770147331,656.25,27.86994553,156.25,38.25276864,34.45582555,38.25276864,-10.38282311,937.5,32.31989816,-4.44995263,468.75,37.28413016,156.25,38.4864598,35.62189438,38.4864598,-1.202329647,937.5,22.80370686,14.4804233,m,VN
chan_0122,aa,1.48,1.53,732.0644587,406.25,36.5331128,125,38.21129135,34.87770452,38.21129135,-1.678178553,1000,6.17298588,30.36012692,468.75,34.28135025,125,35.23515896,34.25474859,35.23515896,-0.95380871,937.5,8.839045906,25.442304344,468.75,35.07164783,124.3687461,32.92516034,33.89800558,15.54202123,19.5296266,1000,9.320510565,25.75113727,m,NV
chan_0122,oh,1.66,1.76,478.8410181,625,37.66153058,125,39.74313505,36.37679573,39.74313505,-2.081604467,906.25,25.46291767,12.19861292,625,38.25097648,125,41.1789659,37.42220353,41.1789659,-2.927989422,906.25,40.33383248,-2.082856,531.25,38.89847909,125,42.61451394,39.41413945,42.61451394,-3.716034842,906.25,24.17936332,14.71911578,m,VN
chan_0122,aa,2.28,2.37,664.6775825,390.625,30.20351982,140.625,43.63188938,36.77360508,43.63188938,-13.42836955,906.25,5.13987609,25.06364373,421.875,9.040616681,140.625,19.80164011,14.5873831,21.2052753,-12.16465862,906.25,-0.825592308,9.866208989,671.875,0.610080292,140.625,13.76538244,5.365172117,20.93377879,-20.3236985,921.875,1.84004508,-1.229964788,m,NV
chan_0123,oh,2.58,2.64,396.2874592,406.25,31.39655314,140.625,43.31789656,41.02899572,43.31789656,-11.92134342,890.625,9.385439363,22.01111377,343.75,25.52727596,156.25,43.13035952,42.27137811,43.13035952,-17.60308356,921.875,1.736970334,23.790305626,343.75,32.97590853,156.25,42.31940445,41.61856895,42.31940445,-9.34349592,921.875,9.210791313,23.76511722,m,VN
chan_0123,i,2.73,2.85,378.3629552,250,24.10148868,140.625,34.71075211,28.31111899,34.71075211,-10.60926343,968.75,-7.027203726,31.1286924,640.625,-3.56795009,125,26.04746279,20.59539137,26.04746279,-29.61541288,984.375,-4.403495358,0.835545268,1093.75,12.65724338,109.375,35.6342543,25.46472501,35.6342543,-22.97701092,953.125,10.31480144,2.342441943,m,NV
chan_0123,i,6.63,6.71,312.2684308,265.625,32.89450758,125,36.06676039,40.34231894,6.975536994,25.91897058,890.625,-4.84014031,37.73464789,312.5,37.4898118,109.375,31.12459155,36.1929744,2.298624728,35.19118707,937.5,-6.309930675,43.799742475,328.125,31.12059849,109.375,28.11754279,30.02618355,-0.306684136,31.42728263,984.375,-13.89762032,45.01821881,m,NV
chan_0124,aa,1.41,1.49,610.2518098,562.5,12.45277262,156.25,39.24173885,31.7696976,39.24173885,-26.78896622,1000,11.36023372,1.0925389,1093.75,2.95084325,125,25.37766455,17.09095783,25.37766455,-22.4268213,968.75,-2.51930983,5.47015308,1125,4.833645956,156.25,16.74152307,10.82457773,16.74152307,-11.90787712,968.75,-1.641904358,6.475550314,m,VN
chan_0124,i,6.03,6.14,298.4988317,453.125,42.62942676,140.625,45.2046835,40.44359621,45.2046835,-2.575256741,1015.625,24.58183847,18.04758828,734.375,43.08539791,140.625,44.84328683,39.61944352,44.84328683,-1.757888922,1015.625,34.95806739,8.12733052,750,41.97096784,156.25,45.77622665,40.810755,45.77622665,-3.80525881,921.875,32.22329513,9.747672713,m,VN
chan_0124,A,6.19,6.31,470.2088534,312.5,31.10867817,125.6543436,37.94101163,33.86251812,37.94101163,-6.832333469,968.75,11.62874101,19.47993715,281.25,33.84529324,125,37.83850736,33.84529324,37.83850736,-3.993214119,937.5,15.48936228,18.35593096,375,27.97854568,125,36.96128637,33.6523323,36.96128637,-8.982740696,906.25,15.510695,12.46785068,m,NV
chan_0126,oh,5.27,5.34,454.90288,500,32.75589674,125,31.85338251,32.6692935,8.378689257,24.37720749,968.75,27.1531071,5.602789643,718.75,33.64904381,125,32.70764616,32.36104356,33.64904381,0,968.75,30.5087078,3.14033601,718.75,34.73800759,125,34.35290765,31.85861027,34.73800759,0,968.75,33.62083731,1.117170275,m,VN
chan_0126,oh,5.43,5.5,534.2168913,812.5,28.23930033,125,36.29359877,27.63064559,36.29359877,-8.054298432,937.5,26.57692498,1.662375353,687.5,35.23545464,125,36.06636704,30.63617862,36.06636704,-0.830912401,968.75,27.70981731,7.52563733,687.5,37.07506479,125,35.81298625,31.34513125,37.07506479,0,968.75,23.1584506,13.91661419,m,NV
chan_0127,A,2.04,2.18,1036.771939,375,36.48929771,159.5057911,37.61331363,37.41319825,37.61331363,-1.124015923,1000,18.48083077,18.00846694,375,33.25852778,130.9730482,36.74096011,34.11315855,36.74096011,-3.482432325,937.5,4.170991925,29.087535855,375,38.20509012,161.7027275,38.89678509,38.47176887,39.09636579,-0.891275668,937.5,16.36506848,21.84002164,m,VN
chan_0127,oh,2.79,2.84,408.5284146,375,38.39250459,125,39.59704402,40.50899637,14.5136218,23.87888279,1000,11.25921201,27.13329258,468.75,35.73957972,125,39.87166454,41.03784079,5.808806371,29.93077335,906.25,10.4229231,25.31665662,343.75,35.22105513,125,39.32472266,39.38521913,12.08410391,23.13695122,1000,8.418596108,26.80245902,m,VN
chan_0127,ee,2.93,3.01,409.813645,468.75,27.33418073,156.25,27.56162372,26.7792942,27.56162372,-0.227442988,875,10.16952751,17.16465323,437.5,44.94403884,156.1975486,38.10926076,41.18443518,2.517888786,42.42615005,875,13.69217428,31.25186456,437.5,44.87036637,156.25,38.09582028,40.13235977,3.072673475,41.7976929,875,14.57364785,30.29671852,m,NV
chan_0128,i,2.24,2.31,313.0384022,546.875,32.91948586,140.625,39.70518996,37.56246668,39.70518996,-6.785704096,937.5,23.5128612,9.406624663,734.375,40.33247298,125,37.88833072,38.13552871,9.092016227,31.24045676,984.375,33.69211977,6.64035321,734.375,41.63789433,125,40.37695481,38.8222824,41.63789433,0,984.375,30.96867892,10.66921541,m,VN
chan_0128,A,2.37,2.48,591.0842633,312.5,7.624376103,139.1843714,28.67116224,7.624376103,28.67116224,-21.04678614,937.5,-3.721576938,11.34595304,312.5,37.2749282,130.7651229,36.68207739,37.2749282,28.40223509,8.872693106,1000,-1.058221944,38.333150144,312.5,38.87901759,130.5031764,37.3271181,38.87901759,28.14122607,10.73779152,1000,-0.584869024,39.46388662,m,NV
chan_0128,A,3.9,4.02,619.9708094,765.625,15.69663065,140.625,21.19592449,10.17411851,21.19592449,-5.49929384,1015.625,9.536260411,6.160370241,812.5,31.22816125,125,33.57769004,28.30023894,33.57769004,-2.349528795,937.5,30.52819203,0.69996922,812.5,35.19964293,109.375,37.6418523,33.15077673,37.6418523,-2.442209375,921.875,33.59966057,1.599982361,m,NV
chan_0129,aa,1.65,1.73,637.8989211,453.125,43.80330497,109.375,37.85455974,38.76179176,14.41872304,29.38458193,1000,23.13391221,20.66939276,421.875,42.55758225,109.375,34.05452268,35.87916116,3.125026511,39.43255574,953.125,25.71763008,16.83995217,437.5,32.96082642,109.375,28.81562436,23.08094557,32.96082642,0,984.375,16.27439227,16.68643416,m,NV
chan_0129,oh,5.97,6.04,420.6616856,437.5,5.12406919,125,9.179707753,3.676588362,9.179707753,-4.055638563,937.5,-4.120179632,9.244248823,1062.5,0.06501444,125,21.3484994,15.7130353,21.3484994,-21.28348496,1000,-5.169145513,5.234159953,750,-5.046751027,125,22.49614909,17.56201288,22.49614909,-27.54290011,1000,2.784387974,-7.831139,m,NV
