Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_163,aa,1437.50,19.83,156.25,32.74,27.68,32.77,-12.94,1000.00,15.68,4.15,1.00
Bd_164,ee,234.38,31.48,109.38,38.75,40.43,6.52,24.96,937.50,-0.26,31.74,1.00
Bd_165,i,500.00,30.49,130.99,27.31,28.84,28.59,1.90,937.50,20.68,9.81,1.00
Bd_165,i,578.13,33.33,125.00,34.67,37.48,9.01,24.33,937.50,21.76,11.58,1.00
Bd_165,A,1156.25,27.18,156.00,49.62,51.01,17.80,9.38,1000.00,33.63,-6.45,1.00
Bd_165,ee,281.25,31.37,93.75,38.18,38.75,10.84,20.52,968.75,0.71,30.66,1.00
Bd_166,ee,718.75,-5.41,125.00,23.21,18.77,24.92,-30.33,906.25,-7.23,1.81,1.00
Bd_166,ee,640.63,48.50,125.00,44.89,44.95,20.92,27.58,953.13,36.13,12.37,1.00
Bd_167,A,1140.63,2.67,125.00,13.39,2.10,14.18,-11.51,968.75,-2.06,4.74,1.00
Bd_168,A,593.75,44.57,156.25,45.36,48.28,17.02,27.56,906.25,37.51,7.06,1.00
Bd_168,A,406.25,25.45,187.50,37.78,24.48,37.78,-12.34,1031.25,9.71,15.73,1.00
Bd_168,aa,312.50,46.63,126.25,43.94,49.12,19.55,27.08,968.75,28.31,18.32,1.00
Bd_169,ee,593.75,24.68,125.00,30.59,27.64,33.20,-8.53,906.25,22.14,2.54,1.00
Bd_17,aa,390.63,30.05,93.75,35.98,36.81,13.00,17.05,968.75,17.89,12.16,1.00
Bd_17,oh,343.75,49.24,97.79,45.91,49.79,37.04,12.19,906.25,19.88,29.36,1.00
Bd_17,i,250.00,35.53,187.50,37.46,23.92,37.46,-1.93,1000.00,6.25,29.28,1.00
Bd_17,oh,359.38,46.26,171.88,56.34,51.01,56.34,-10.08,875.00,24.92,21.34,1.00
Bd_17,oh,625.00,7.69,153.88,10.23,4.71,12.05,-4.36,937.50,-4.05,11.75,1.00
Bd_17,i,296.88,43.73,93.75,41.47,43.57,9.03,34.70,906.25,7.82,35.91,1.00
Bd_170,oh,500.00,53.57,125.00,45.86,47.94,14.78,38.78,968.75,29.82,23.75,1.00
Bd_170,A,406.25,31.89,156.25,38.12,29.98,40.67,-8.78,875.00,19.02,12.87,1.00
Bd_170,oh,250.00,43.27,156.25,41.60,42.05,18.66,24.61,906.25,4.56,38.71,1.00
