FFlename,Segment_label,BegFnnFng,End,F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1,,
chan_0143,B,4.55,4.63,619.7343949,375,4.680451145,159.1248505,19.22120319,6.376789749,23.22219357,-18.54174242,937.5,-5.390562231,10.07101338,375,30.20357172,163.4338962,36.84721505,34.40372927,36.84721505,-6.643643327,1000,16.53072457,13.67284715,375,35.79380776,133.3609044,31.7653522,34.37880395,28.23285916,7.560948605,937.5,7.931293476,27.86251429,m,NV
chan_0149,F,1.82,1.87,348.2510199,562.5,-7.678720432,156.25,5.785817674,-2.940770069,10.3948679,-18.07358833,875,-14.00944754,6.330727104,687.5,-10.3280218,156.25,-2.571416278,7.418093778,-2.284504934,-8.04351687,875,-11.64247106,1.31444926,531.25,15.03935593,156.25,17.41390203,9.790685205,27.29492699,-12.25557106,875,4.781891957,10.25746397,m,NV
chan_0151,B,0.94,1.01,508.7996473,343.75,41.77007136,171.875,44.4582506,41.77007136,44.4582506,-2.688179239,875,14.2126537,27.55741766,359.375,40.38501753,171.875,44.81969238,43.58697971,44.81969238,-4.434674847,875,13.9251819,26.45983563,468.75,23.36923764,171.875,44.79721354,44.2967417,44.79721354,-21.4279759,875,16.17226745,7.19697019,m,NV
chan_0151,F,1.35,1.55,456.6906804,546.875,37.28047846,140.625,44.15378064,41.47352936,44.15378064,-6.873302184,937.5,27.50528439,9.775194076,671.875,43.02440125,140.625,42.89102576,40.13897579,43.02440125,0,953.125,35.76434791,7.26005334,578.125,42.2669577,140.625,44.6048722,39.21467995,46.1489754,-3.882017698,1015.625,41.67661216,0.590345543,m,NV
chan_0151,B,2.44,2.54,583.0274722,625,42.75325539,156.25,43.13336693,39.03080215,43.13336693,-0.380111541,906.25,28.64195336,14.11130203,750,46.74546239,156.25,43.47793801,39.45209924,46.74546239,0,906.25,39.27194569,7.4735167,718.75,42.73938054,156.25,43.53564575,37.85593578,43.53564575,-0.796265206,875,40.13656413,2.602816411,m,NV
chan_0151,B,3.74,3.81,527.6280669,687.5,23.17735766,93.75,25.77126816,27.58119495,4.723695413,18.45366225,968.75,12.13914663,11.03821103,687.5,23.17735766,93.75,25.77126816,27.58119495,4.723695413,18.45366225,968.75,12.13914663,11.03821103,687.5,23.17735766,93.75,25.77126816,27.58119495,4.723695413,18.45366225,968.75,12.13914663,11.03821103,m,NV
chan_0155,oF,8.53,8.64,518.3656032,375,27.78489363,110.3804867,31.39366256,31.62944304,26.48635418,1.298539451,1000,-0.80874355,28.59363718,500,9.78052797,109.3395762,20.74914775,19.56523455,21.24983761,-11.46930964,937.5,-0.774277458,10.554805428,1437.5,7.269471808,108.2986658,18.17400925,16.98807233,20.38997363,-13.12050182,937.5,4.706143669,2.563328138,m,NV
chan_0157,F,2.43,2.49,352.9888595,640.625,48.12815247,156.25,43.15235813,40.87206226,48.12815247,0,953.125,34.55220594,13.57594653,796.875,48.17594664,156.25,42.25366414,38.98256483,48.17594664,0,953.125,31.32353207,16.85241457,796.875,39.55295857,156.25,40.31443205,34.26487117,40.31443205,-0.761473479,968.75,35.44632122,4.106637349,m,NV
chan_0159,B,4.33,4.53,579.2969035,468.75,22.02514202,125,34.07161852,24.05975236,34.6071426,-12.58200058,937.5,17.360131,4.66501102,656.25,34.69867787,125,37.54993455,30.43667842,37.54993455,-2.851256675,1000,26.65190534,8.04677253,750,35.09829028,125,36.80819621,31.2675743,36.80819621,-1.709905923,1000,35.95317845,-0.854888166,m,NV
chan_0159,B,4.9,5,670.8195636,343.75,16.03240499,109.375,25.7874806,25.53175482,25.7874806,-9.755075605,906.25,-2.272758684,18.30516368,312.5,11.11007938,109.375,24.15608806,22.72349843,24.15608806,-13.04600867,906.25,0.8044199,10.30565948,312.5,9.162597575,109.375,18.78684912,15.42619388,18.78684912,-9.624251541,906.25,-2.210346899,11.37294447,m,NV
